question	answer
Hi, How are you doing?	I am fine. How about yourself?
I am fine. How about yourself?	I am pretty good. Thanks for asking.
I am pretty good. Thanks for asking.	No problem. So how have you been?
No problem. So how have you been?	I have been great. What about you?
I have been great. What about you?	I have been good. I am in school right now.
I have been good. I am in school right now.	What school do you go to?
What school do you go to?	I go to pcc.
I go to pcc.	Do you like it there?
Do you like it there?	It is okay. It is a really big campus.
It is okay. It is a really big campus.	Good luck with school.
Good luck with school.	Thank you very much.
How is it going?	I am doing well. How about you?
I am doing well. How about you?	Never better, Thanks.
Never better, Thanks.	So how have you been lately?
So how have you been lately?	I have actually been pretty good. You?
I have actually been pretty good. You?	I am actually in school right now.
I am actually in school right now.	Which school do you attend?
Which school do you attend?	I am attending pcc right now.
I am attending pcc right now.	Are you enjoying it there?
Are you enjoying it there?	It is not bad. There are a lot of people there.
It is not bad. There are a lot of people there.	Good luck with that.
Good luck with that.	Thanks.
How are you doing today?	I am doing great. What about you?
I am doing great. What about you?	I am absolutely lovely, Thank you.
I am absolutely lovely, Thank you.	Everything's been good with you?
Everything's been good with you?	I haven't been better. How about yourself?
I haven't been better. How about yourself?	I started school recently.
I started school recently.	Where are you going to school?
Where are you going to school?	I am going to pcc.
I am going to pcc.	How do you like it so far?
How do you like it so far?	I like it so far. My classes are pretty good right now.
I like it so far. My classes are pretty good right now.	I wish you luck.
It is an ugly day today.	I know. I think it may rain.
I know. I think it may rain.	It is the middle of summer, It should not rain today.
It is the middle of summer, It should not rain today.	That would be weird.
That would be weird.	Yeah, Especially since it is ninety degrees outside.
Yeah, Especially since it is ninety degrees outside.	I know, It would be horrible if it rained and it was hot outside.
I know, It would be horrible if it rained and it was hot outside.	Yes, It would be.
Yes, It would be.	I really wish it wasn't so hot every day.
I really wish it wasn't so hot every day.	Me too. I cannot wait until winter.
Me too. I cannot wait until winter.	I like winter too, But sometimes it gets too cold.
I like winter too, But sometimes it gets too cold.	I would rather be cold than hot.
I would rather be cold than hot.	Me too.
It does not look very nice outside today.	You're right. I think it is going to rain later.
You're right. I think it is going to rain later.	In the middle of the summer, It should not be raining.
In the middle of the summer, It should not be raining.	That would not seem right.
That would not seem right.	Considering that it is over ninety degrees outside, That would be weird.
Considering that it is over ninety degrees outside, That would be weird.	Exactly, It would not be nice if it started raining. It is too hot.
Exactly, It would not be nice if it started raining. It is too hot.	I know, You're absolutely right.
I know, You're absolutely right.	I wish it would cool off one day.
I wish it would cool off one day.	That is how i feel, I want winter to come soon.
That is how i feel, I want winter to come soon.	I enjoy the winter, But it gets really cold sometimes.
I enjoy the winter, But it gets really cold sometimes.	I know what you mean, But I would rather be cold than hot.
I know what you mean, But I would rather be cold than hot.	That is exactly how i feel.
I wish it was a nicer day today.	That is true. I hope it does not rain.
That is true. I hope it does not rain.	It would not rain in the middle of the summer.
It would not rain in the middle of the summer.	It would not seem right if it started raining right now.
It would not seem right if it started raining right now.	It would be weird if it started raining in ninety degree weather.
It would be weird if it started raining in ninety degree weather.	Any rain right now would be pointless.
Any rain right now would be pointless.	That is right, It really would be.
That is right, It really would be.	I want it to cool down some.
I want it to cool down some.	I know what you mean, I cannot wait until it is winter.
I know what you mean, I cannot wait until it is winter.	Winter is great. I wish it did not get so cold sometimes though.
Winter is great. I wish it did not get so cold sometimes though.	I would rather deal with the winter than the summer.
It is such a nice day.	Yes, It is.
Yes, It is.	It looks like it may rain soon.
It looks like it may rain soon.	Yes, And i hope that it does.
Yes, And i hope that it does.	Why is that?
Why is that?	I really love how rain clears the air.
I really love how rain clears the air.	Me too. It always smells so fresh after it rains.
Me too. It always smells so fresh after it rains.	Yes, But i love the night air after it rains.
Yes, But i love the night air after it rains.	Really? Why is it?
Really? Why is it?	Because you can see the stars perfectly.
Because you can see the stars perfectly.	I really hope it rains today.
I really hope it rains today.	Yeah, Me too.
Isn't it a nice day?	It really is.
It really is.	It seems that it may rain today.
It seems that it may rain today.	Hopefully it will.
Hopefully it will.	How come?
How come?	I like how clear the sky gets after it rains.
